REGION,TECHNOLOGY,VALUE
GLOBAL,TRNBTNXXINDEA,31.536
GLOBAL,PWRSDSBTNXX01,31.536
GLOBAL,PWRSDSINDEA01,31.536
GLOBAL,PWRSDSINDNE01,31.536
GLOBAL,PWRSDSINDNO01,31.536
GLOBAL,PWRSDSINDSO01,31.536
GLOBAL,PWRSDSINDWE01,31.536
GLOBAL,PWRLDSBTNXX01,31.536
GLOBAL,PWRLDSINDEA01,31.536
GLOBAL,PWRLDSINDNE01,31.536
GLOBAL,PWRLDSINDNO01,31.536
GLOBAL,PWRLDSINDSO01,31.536
GLOBAL,PWRLDSINDWE01,31.536
