REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCINDEA02,S1D3,2024,0.14
GLOBAL,ELCINDEA02,S1D3,2025,0.14
GLOBAL,ELCINDEA02,S1D3,2026,0.14
GLOBAL,ELCINDEA02,S1D3,2027,0.14
GLOBAL,ELCINDEA02,S1D3,2028,0.14
GLOBAL,ELCINDEA02,S1D3,2029,0.14
GLOBAL,ELCINDEA02,S1D3,2030,0.14
GLOBAL,ELCINDEA02,S1D3,2031,0.14
GLOBAL,ELCINDEA02,S1D3,2032,0.14
GLOBAL,ELCINDEA02,S1D3,2033,0.14
GLOBAL,ELCINDEA02,S1D3,2034,0.14
GLOBAL,ELCINDEA02,S1D3,2035,0.14
GLOBAL,ELCINDEA02,S1D3,2036,0.14
GLOBAL,ELCINDEA02,S1D3,2037,0.14
GLOBAL,ELCINDEA02,S1D3,2038,0.14
GLOBAL,ELCINDEA02,S1D3,2039,0.14
GLOBAL,ELCINDEA02,S1D3,2040,0.14
GLOBAL,ELCINDEA02,S1D3,2041,0.14
GLOBAL,ELCINDEA02,S1D3,2042,0.14
GLOBAL,ELCINDEA02,S1D3,2043,0.14
GLOBAL,ELCINDEA02,S1D3,2044,0.14
GLOBAL,ELCINDEA02,S1D3,2045,0.14
GLOBAL,ELCINDEA02,S1D3,2046,0.14
GLOBAL,ELCINDEA02,S1D3,2047,0.14
GLOBAL,ELCINDEA02,S1D3,2048,0.14
GLOBAL,ELCINDEA02,S1D3,2049,0.14
GLOBAL,ELCINDEA02,S1D3,2050,0.14
GLOBAL,ELCINDNE02,S1D3,2021,0.14
GLOBAL,ELCINDNE02,S1D3,2022,0.14
GLOBAL,ELCINDNE02,S1D3,2023,0.14
GLOBAL,ELCINDNE02,S1D3,2024,0.14
GLOBAL,ELCINDNE02,S1D3,2025,0.14
GLOBAL,ELCINDNE02,S1D3,2026,0.14
GLOBAL,ELCINDNE02,S1D3,2027,0.14
GLOBAL,ELCINDNE02,S1D3,2028,0.14
GLOBAL,ELCINDNE02,S1D3,2029,0.14
GLOBAL,ELCINDNE02,S1D3,2030,0.14
GLOBAL,ELCINDNE02,S1D3,2031,0.14
GLOBAL,ELCINDNE02,S1D3,2032,0.14
GLOBAL,ELCINDNE02,S1D3,2033,0.14
GLOBAL,ELCINDNE02,S1D3,2034,0.14
GLOBAL,ELCINDNE02,S1D3,2035,0.14
GLOBAL,ELCINDNE02,S1D3,2036,0.14
GLOBAL,ELCINDNE02,S1D3,2037,0.14
GLOBAL,ELCINDNE02,S1D3,2038,0.14
GLOBAL,ELCINDNE02,S1D3,2039,0.14
GLOBAL,ELCINDNE02,S1D3,2040,0.14
GLOBAL,ELCINDNE02,S1D3,2041,0.14
GLOBAL,ELCINDNE02,S1D3,2042,0.14
GLOBAL,ELCINDNE02,S1D3,2043,0.14
GLOBAL,ELCINDNE02,S1D3,2044,0.14
GLOBAL,ELCINDNE02,S1D3,2045,0.14
GLOBAL,ELCINDNE02,S1D3,2046,0.14
GLOBAL,ELCINDNE02,S1D3,2047,0.14
GLOBAL,ELCINDNE02,S1D3,2048,0.14
GLOBAL,ELCINDNE02,S1D3,2049,0.14
GLOBAL,ELCINDNE02,S1D3,2050,0.14
GLOBAL,ELCINDNO02,S1D3,2021,0.12
GLOBAL,ELCINDNO02,S1D3,2022,0.12
GLOBAL,ELCINDNO02,S1D3,2023,0.12
GLOBAL,ELCINDNO02,S1D3,2024,0.12
GLOBAL,ELCINDNO02,S1D3,2025,0.12
GLOBAL,ELCINDNO02,S1D3,2026,0.12
GLOBAL,ELCINDNO02,S1D3,2027,0.12
GLOBAL,ELCINDNO02,S1D3,2028,0.12
GLOBAL,ELCINDNO02,S1D3,2029,0.12
GLOBAL,ELCINDNO02,S1D3,2030,0.12
GLOBAL,ELCINDNO02,S1D3,2031,0.12
GLOBAL,ELCINDNO02,S1D3,2032,0.12
GLOBAL,ELCINDNO02,S1D3,2033,0.12
GLOBAL,ELCINDNO02,S1D3,2034,0.12
GLOBAL,ELCINDNO02,S1D3,2035,0.12
GLOBAL,ELCINDNO02,S1D3,2036,0.12
GLOBAL,ELCINDNO02,S1D3,2037,0.12
GLOBAL,ELCINDNO02,S1D3,2038,0.12
GLOBAL,ELCINDNO02,S1D3,2039,0.12
GLOBAL,ELCINDNO02,S1D3,2040,0.12
GLOBAL,ELCINDNO02,S1D3,2041,0.12
GLOBAL,ELCINDNO02,S1D3,2042,0.12
GLOBAL,ELCINDNO02,S1D3,2043,0.12
GLOBAL,ELCINDNO02,S1D3,2044,0.12
GLOBAL,ELCINDNO02,S1D3,2045,0.12
GLOBAL,ELCINDNO02,S1D3,2046,0.12
GLOBAL,ELCINDNO02,S1D3,2047,0.12
GLOBAL,ELCINDNO02,S1D3,2048,0.12
GLOBAL,ELCINDNO02,S1D3,2049,0.12
GLOBAL,ELCINDNO02,S1D3,2050,0.12
GLOBAL,ELCINDSO02,S1D3,2021,0.13
GLOBAL,ELCINDSO02,S1D3,2022,0.13
GLOBAL,ELCINDSO02,S1D3,2023,0.13
GLOBAL,ELCINDSO02,S1D3,2024,0.13
GLOBAL,ELCINDSO02,S1D3,2025,0.13
GLOBAL,ELCINDSO02,S1D3,2026,0.13
GLOBAL,ELCINDSO02,S1D3,2027,0.13
GLOBAL,ELCINDSO02,S1D3,2028,0.13
GLOBAL,ELCINDSO02,S1D3,2029,0.13
GLOBAL,ELCINDSO02,S1D3,2030,0.13
GLOBAL,ELCINDSO02,S1D3,2031,0.13
GLOBAL,ELCINDSO02,S1D3,2032,0.13
