REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCINDWE02,S1D2,2034,0.13
GLOBAL,ELCINDWE02,S1D2,2035,0.13
GLOBAL,ELCINDWE02,S1D2,2036,0.13
GLOBAL,ELCINDWE02,S1D2,2037,0.13
GLOBAL,ELCINDWE02,S1D2,2038,0.13
GLOBAL,ELCINDWE02,S1D2,2039,0.13
GLOBAL,ELCINDWE02,S1D2,2040,0.13
GLOBAL,ELCINDWE02,S1D2,2041,0.13
GLOBAL,ELCINDWE02,S1D2,2042,0.13
GLOBAL,ELCINDWE02,S1D2,2043,0.13
GLOBAL,ELCINDWE02,S1D2,2044,0.13
GLOBAL,ELCINDWE02,S1D2,2045,0.13
GLOBAL,ELCINDWE02,S1D2,2046,0.13
GLOBAL,ELCINDWE02,S1D2,2047,0.13
GLOBAL,ELCINDWE02,S1D2,2048,0.13
GLOBAL,ELCINDWE02,S1D2,2049,0.13
GLOBAL,ELCINDWE02,S1D2,2050,0.13
GLOBAL,ELCBTNXX02,S1D3,2021,0.13
GLOBAL,ELCBTNXX02,S1D3,2022,0.13
GLOBAL,ELCBTNXX02,S1D3,2023,0.13
GLOBAL,ELCBTNXX02,S1D3,2024,0.13
GLOBAL,ELCBTNXX02,S1D3,2025,0.13
GLOBAL,ELCBTNXX02,S1D3,2026,0.13
GLOBAL,ELCBTNXX02,S1D3,2027,0.13
GLOBAL,ELCBTNXX02,S1D3,2028,0.13
GLOBAL,ELCBTNXX02,S1D3,2029,0.13
GLOBAL,ELCBTNXX02,S1D3,2030,0.13
GLOBAL,ELCBTNXX02,S1D3,2031,0.13
GLOBAL,ELCBTNXX02,S1D3,2032,0.13
GLOBAL,ELCBTNXX02,S1D3,2033,0.13
GLOBAL,ELCBTNXX02,S1D3,2034,0.13
GLOBAL,ELCBTNXX02,S1D3,2035,0.13
GLOBAL,ELCBTNXX02,S1D3,2036,0.13
GLOBAL,ELCBTNXX02,S1D3,2037,0.13
GLOBAL,ELCBTNXX02,S1D3,2038,0.13
GLOBAL,ELCBTNXX02,S1D3,2039,0.13
GLOBAL,ELCBTNXX02,S1D3,2040,0.13
GLOBAL,ELCBTNXX02,S1D3,2041,0.13
GLOBAL,ELCBTNXX02,S1D3,2042,0.13
GLOBAL,ELCBTNXX02,S1D3,2043,0.13
GLOBAL,ELCBTNXX02,S1D3,2044,0.13
GLOBAL,ELCBTNXX02,S1D3,2045,0.13
GLOBAL,ELCBTNXX02,S1D3,2046,0.13
GLOBAL,ELCBTNXX02,S1D3,2047,0.13
GLOBAL,ELCBTNXX02,S1D3,2048,0.13
GLOBAL,ELCBTNXX02,S1D3,2049,0.13
GLOBAL,ELCBTNXX02,S1D3,2050,0.13
GLOBAL,ELCINDEA02,S1D3,2021,0.14
GLOBAL,ELCINDEA02,S1D3,2022,0.14
GLOBAL,ELCINDEA02,S1D3,2023,0.14
