REGION,STORAGE,VALUE
GLOBAL,SDSBTNXX01,0
GLOBAL,SDSINDEA01,0
GLOBAL,SDSINDNE01,0
GLOBAL,SDSINDNO01,0
GLOBAL,SDSINDSO01,0
GLOBAL,SDSINDWE01,0
GLOBAL,LDSBTNXX01,0
GLOBAL,LDSINDEA01,0
GLOBAL,LDSINDNE01,0
GLOBAL,LDSINDNO01,0
GLOBAL,LDSINDSO01,0
GLOBAL,LDSINDWE01,0
