VALUE
BIOBTNXX
BIOINDEA
BIOINDNE
BIOINDNO
BIOINDSO
BIOINDWE
CALOCGIND
COABTN
COAIND
COAINT
COGBTN
COGIND
COGINT
CSPBTNXX
CSPINDEA
CSPINDNE
CSPINDNO
CSPINDSO
CSPINDWE
ELCBTNXX01
ELCBTNXX02
ELCINDEA01
ELCINDEA02
ELCINDNE01
ELCINDNE02
ELCINDNO01
ELCINDNO02
ELCINDSO01
ELCINDSO02
ELCINDWE01
ELCINDWE02
GASBTN
GASIND
GASINT
GEOBTNXX
GEOINDEA
GEOINDNE
GEOINDNO
GEOINDSO
GEOINDWE
HYDBTNXX
HYDINDEA
HYDINDNE
HYDINDNO
HYDINDSO
HYDINDWE
OILBTN
OILIND
OILINT
OTHBTN
OTHIND
OTHINT
PETBTN
PETIND
PETINT
SPVBTNXX
SPVINDEA
SPVINDNE
SPVINDNO
SPVINDSO
SPVINDWE
T01
T02IND
T03INDSO
URNBTN
URNIND
URNINT
WASBTNXX
WASINDEA
WASINDNE
WASINDNO
WASINDSO
WASINDWE
WAVBTNXX
WAVINDEA
WAVINDNE
WAVINDNO
WAVINDSO
WAVINDWE
WOFBTNXX
WOFINDEA
WOFINDNE
WOFINDNO
WOFINDSO
WOFINDWE
WONBTNXX
WONINDEA
WONINDNE
WONINDNO
WONINDSO
WONINDWE
