REGION,FUEL,YEAR,VALUE
GLOBAL,ELCINDWE01,2021,1
GLOBAL,ELCINDWE01,2022,1
GLOBAL,ELCINDWE01,2023,1
GLOBAL,ELCINDWE01,2024,1
GLOBAL,ELCINDWE01,2025,1
GLOBAL,ELCINDWE01,2026,1
GLOBAL,ELCINDWE01,2027,1
GLOBAL,ELCINDWE01,2028,1
GLOBAL,ELCINDWE01,2029,1
GLOBAL,ELCINDWE01,2030,1
GLOBAL,ELCINDWE01,2031,1
GLOBAL,ELCINDWE01,2032,1
GLOBAL,ELCINDWE01,2033,1
GLOBAL,ELCINDWE01,2034,1
GLOBAL,ELCINDWE01,2035,1
GLOBAL,ELCINDWE01,2036,1
GLOBAL,ELCINDWE01,2037,1
GLOBAL,ELCINDWE01,2038,1
GLOBAL,ELCINDWE01,2039,1
GLOBAL,ELCINDWE01,2040,1
GLOBAL,ELCINDWE01,2041,1
GLOBAL,ELCINDWE01,2042,1
GLOBAL,ELCINDWE01,2043,1
GLOBAL,ELCINDWE01,2044,1
GLOBAL,ELCINDWE01,2045,1
GLOBAL,ELCINDWE01,2046,1
GLOBAL,ELCINDWE01,2047,1
GLOBAL,ELCINDWE01,2048,1
GLOBAL,ELCINDWE01,2049,1
GLOBAL,ELCINDWE01,2050,1
